layer,hhi,low,high,top_share,shannon_effective_categories,panel,draw,mutual_information
,,,,,,b,507.0,0.3562950341188049
,,,,,,b,508.0,0.3135210849128151
,,,,,,b,509.0,0.3919342050541221
,,,,,,b,510.0,0.3869079905256596
,,,,,,b,511.0,0.3853724944831427
,,,,,,b,512.0,0.3671102393145813
,,,,,,b,513.0,0.4119805944436545
,,,,,,b,514.0,0.3593061407276003
,,,,,,b,515.0,0.3324393853131346
,,,,,,b,516.0,0.3563164625212529
,,,,,,b,517.0,0.3252809763150392
,,,,,,b,518.0,0.4123261201264596
,,,,,,b,519.0,0.4134937260499947
,,,,,,b,520.0,0.3014434417202691
,,,,,,b,521.0,0.3163194707960786
,,,,,,b,522.0,0.3272748082243568
,,,,,,b,523.0,0.4255702291340184
,,,,,,b,524.0,0.373551948480058
,,,,,,b,525.0,0.3552105741996549
,,,,,,b,526.0,0.3572681474580386
,,,,,,b,527.0,0.3220249000330337
,,,,,,b,528.0,0.2938250850125685
,,,,,,b,529.0,0.3567965306106471
,,,,,,b,530.0,0.4050720850531428
,,,,,,b,531.0,0.2925535021172267
,,,,,,b,532.0,0.4184436558422644
,,,,,,b,533.0,0.3725837592395646
,,,,,,b,534.0,0.3603392849608009
,,,,,,b,535.0,0.3504337266070791
,,,,,,b,536.0,0.4025708495122235
,,,,,,b,537.0,0.3548933407164756
,,,,,,b,538.0,0.3438033986777222
,,,,,,b,539.0,0.3710910985988715
,,,,,,b,540.0,0.2892233924593044
,,,,,,b,541.0,0.3285978718349347
,,,,,,b,542.0,0.3344004278373287
,,,,,,b,543.0,0.3356639546273312
,,,,,,b,544.0,0.3262370963613406
,,,,,,b,545.0,0.3360730636383509
,,,,,,b,546.0,0.3592455390521696
,,,,,,b,547.0,0.3194182707069162
,,,,,,b,548.0,0.3487272709459788
,,,,,,b,549.0,0.4408098380528651
,,,,,,b,550.0,0.4188001263180636
,,,,,,b,551.0,0.3504548543846941
,,,,,,b,552.0,0.4001806804153873
,,,,,,b,553.0,0.348918858501416
,,,,,,b,554.0,0.3697592914909893
,,,,,,b,555.0,0.4039222471400805
,,,,,,b,556.0,0.4164136080106266
,,,,,,b,557.0,0.2985742527279953
,,,,,,b,558.0,0.3818746145460734
,,,,,,b,559.0,0.2782965114814524
,,,,,,b,560.0,0.3604058051945191
,,,,,,b,561.0,0.3585538285259844
,,,,,,b,562.0,0.3290877622360533
,,,,,,b,563.0,0.3628216970181595
,,,,,,b,564.0,0.3315933566047992
,,,,,,b,565.0,0.3786467286351516
,,,,,,b,566.0,0.3149035679115557
,,,,,,b,567.0,0.2611995687832738
,,,,,,b,568.0,0.3342769130816529
,,,,,,b,569.0,0.3493154992009195
,,,,,,b,570.0,0.325559912862845
,,,,,,b,571.0,0.4294809249406985
,,,,,,b,572.0,0.3459533196856208
,,,,,,b,573.0,0.3396545664272148
,,,,,,b,574.0,0.3799478782504311
,,,,,,b,575.0,0.4254106496968419
,,,,,,b,576.0,0.3810128512916502
,,,,,,b,577.0,0.34248518204316
,,,,,,b,578.0,0.3029833638318342
,,,,,,b,579.0,0.3440177018302259
,,,,,,b,580.0,0.405643582505597
,,,,,,b,581.0,0.3376354458471047
,,,,,,b,582.0,0.3558831432842368
,,,,,,b,583.0,0.3288056509981318
,,,,,,b,584.0,0.3446218776748759
,,,,,,b,585.0,0.3565961853671964
,,,,,,b,586.0,0.3199155995080205
,,,,,,b,587.0,0.3606996521979155
,,,,,,b,588.0,0.2815520745170317
,,,,,,b,589.0,0.3668895006402426
,,,,,,b,590.0,0.3961008833562722
,,,,,,b,591.0,0.385511520428301
,,,,,,b,592.0,0.2920663526781557
,,,,,,b,593.0,0.3698751027925686
,,,,,,b,594.0,0.3885153725281984
,,,,,,b,595.0,0.296055169064044
,,,,,,b,596.0,0.3393005950947896
,,,,,,b,597.0,0.4047384186374247
,,,,,,b,598.0,0.3278786903495225
,,,,,,b,599.0,0.3587268185067063
,,,,,,b,600.0,0.3479949983116319
,,,,,,b,601.0,0.307547837160449
,,,,,,b,602.0,0.3627030919217917
,,,,,,b,603.0,0.4035961158951284
,,,,,,b,604.0,0.3081329442582872
,,,,,,b,605.0,0.3615947616236803
,,,,,,b,606.0,0.3474642194614086
,,,,,,b,607.0,0.3502791027429834
,,,,,,b,608.0,0.3040769064547239
,,,,,,b,609.0,0.29890486224093
,,,,,,b,610.0,0.3452152435769404
,,,,,,b,611.0,0.4253941397683562
,,,,,,b,612.0,0.3583405954658727
,,,,,,b,613.0,0.3155881291429692
,,,,,,b,614.0,0.3097137716651623
,,,,,,b,615.0,0.3492953303823007
,,,,,,b,616.0,0.3561076704265393
,,,,,,b,617.0,0.3687813143984257
,,,,,,b,618.0,0.3684520242483886
,,,,,,b,619.0,0.3279929430961785
,,,,,,b,620.0,0.3049660426845402
,,,,,,b,621.0,0.348323083728749
,,,,,,b,622.0,0.4253146816044597
,,,,,,b,623.0,0.4090048747604262
,,,,,,b,624.0,0.3454601053428745
,,,,,,b,625.0,0.3088018317943852
,,,,,,b,626.0,0.2893731284185947
,,,,,,b,627.0,0.3486326587254424
,,,,,,b,628.0,0.334298448261896
,,,,,,b,629.0,0.3405590574791404
,,,,,,b,630.0,0.3378730889660017
,,,,,,b,631.0,0.3854960215914635
,,,,,,b,632.0,0.3505676727433364
,,,,,,b,633.0,0.3859797424845985
,,,,,,b,634.0,0.3352312851426737
,,,,,,b,635.0,0.4082959058822326
,,,,,,b,636.0,0.3690529198583938
